Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2004,571.00,610.45,382.00,533.80,842992253,6532060,432646881094.00,136461603,16.19,228.45,-37.20,
2005,520.05,901.00,498.20,889.65,645474078,4508134,430613485122.00,183636793,28.45,402.80,369.60,
2006,893.45,1350.00,675.10,1270.35,599584979,5892316,561182133384.00,213239061,35.56,674.90,376.90,
2007,1252.55,3235.00,1250.00,2881.05,216790350,4614899,424981930198.00,66606799,30.72,1985.00,1628.50,
2008,2950.00,3252.10,930.00,1230.25,356855636,12431229,666060056815.00,71430165,20.02,2322.10,-1719.75,
2009,1240.05,2490.00,990.00,1089.40,318257831,10835319,539551606993.00,60221850,18.92,1500.00,-150.65,
2010,1094.00,1187.00,840.55,1058.25,232552398,6408077,240706746198.00,89676860,38.56,346.45,-35.75,
2011,1062.00,1090.00,690.00,692.90,190808426,5415653,168201646637.00,55939012,29.32,400.00,-369.10,
2012,697.90,881.00,671.00,839.10,129648927,3267668,100366977066.00,41797869,32.24,210.00,141.20,
2013,844.75,954.80,765.00,894.80,102763808,3617622,87076935574.00,32723474,31.84,189.80,50.05,
2014,896.75,1142.50,794.00,891.15,85101468,4183512,82024884584.00,33860074,39.79,348.50,-5.60,
2015,885.50,1067.00,796.75,1000.90,93351316,3168737,85093112871.00,33116011,35.47,270.25,115.40,
2016,1010.00,1128.90,888.50,1080.10,96321091,2234265,98330913776.00,47142669,48.94,240.40,70.10,
2017,1081.35,1665.00,780.00,921.05,1295487907,2174787,1655557103419.00,1232757506,95.16,885.00,-160.30,
2018,922.00,1328.75,872.10,1121.05,139543879,2252555,146343237188.00,61910981,44.37,456.65,199.05,
2019,1126.00,1617.80,1081.25,1514.10,135509400,3111982,178746774070.00,50788990,37.48,536.55,388.10,
2020,1516.10,2368.80,875.70,1984.65,417011242,8196471,566956764031.00,276266794,66.25,1493.10,468.55,
2021,1986.15,2750.00,1830.00,2368.15,132634188,5842863,289257785145.00,73007671,55.04,920.00,382.00,
2022,2367.50,2855.00,2181.00,2548.20,95833260,4597092,239944489367.00,62881058,65.62,674.00,180.70,
2023,2556.90,2605.00,2293.10,2323.15,11081236,916448,26605694999.00,6789200,61.27,311.90,-233.75,
